"시설id","등록일시","수정일시","시설명","서비스분류코드","서비스분류명","자치구코드","자치구명","행정동 코드","행정동명","x좌표값","y좌표값","우편번호","기본주소","상세주소","운영시작일","연락처","사용료무료여부","운영일","휴관일","이용정원(기관)","이용정원(개인)","신청가능연령","자치구코드배열"
"MP260201","2026-02-22 14:21:00.0","2026-06-23 13:45:00.0","서울형 키즈카페 마포구 쌍룡산근린공원점(염리동)","1011","서울형키즈카페","11440","마포구","3130049","염리동","126.94972537636748","37.552790492088086","04123","서울특별시 마포구 대흥로24바길 55","쌍룡산근린공원점 (염리동)","2026-03-05","02-712-2455","N","화,수,목,금,토,일","월요일, 명절 및 공휴일, 근로자의날","","","4세 ~ 9세","11440"
"DJ260205","2026-02-12 13:39:13.0","2026-06-04 15:22:00.0","서울형 키즈카페 동작구 신대방2동점(동작키즈카페)","1011","서울형키즈카페","11590","동작구","3190058","신대방2동","126.92454","37.49842","07056","서울특별시 동작구 여의대방로24길 76","5층(신대방2동 주민센터) (신대방동)","2026-03-31","070-7163-1460","N","화~일요일","월, 공휴일, 대체공휴일 및 근로자의날","","","0세 ~ 6세","11590"
"DJ260201","2026-02-11 18:19:59.0","2026-06-12 13:58:53.0","서울형 키즈카페 동작구 사당1동점(동작키즈카페)","1011","서울형키즈카페","11590","동작구","3190051","사당1동","126.97984","37.47704","07025","서울특별시 동작구 남부순환로 2081","3층 (사당어르신복지관) (사당동)","2026-02-19","02-583-4569","N","화~일요일","월, 공휴일, 대체공휴일","","","0세 ~ 6세","11590"
"YF260101","2026-01-30 17:04:04.0","2026-05-29 10:32:47.0","서울형 키즈카페 여의동점(영등포구 영어키즈카페)","1011","서울형키즈카페","11560","영등포구","3180045","여의동","126.9300098356923","37.524466670417446","07339","서울특별시 영등포구 국제금융로 39","지하1층 (여의도동, 브라이튼 여의도)","2026-04-01","02-780-6088","N","화요일~일요일","월요일, 근로자의 날, 법정공휴일","","","0세 ~ 6세","11560"
"NW240901","2024-09-06 18:19:53.0","2026-06-16 08:42:01.0","서울형키즈카페 시립 옴팡점","1011","서울형키즈카페","11350","노원구","3100189","공릉1동","127.07695","37.62018","01849","서울특별시 노원구 동일로174길 27","서울생활사박물관 옴팡","2024-10-15","02-3399-2900","Y","화~일","매주 월요일, 1월1일","","","0세 ~ 13세","11350"
"SM260101","2026-01-13 16:56:09.0","2026-06-22 16:47:12.0","서울형 키즈카페 서대문구 홍제1동점","1011","서울형키즈카페","11410","서대문구","3120050","홍제1동","126.94400738607482","37.588793310382364","03637","서울특별시 서대문구 통일로39길 22-31","홍광문화선교원 3층 (홍제동)","2026-02-27","02-396-1006","N","월~토","일요일, 공휴일, 근로자의 날, 선거일, 임시 공휴일","","","1세 ~ 6세","11410"
"SP260102","2026-01-13 15:34:45.0","2026-06-11 15:28:04.0","서울형 키즈카페 송파구 어린이문화회관점(하하호호놀이터 송파구6호점)","1011","서울형키즈카페","11710","송파구","3230049","오금동","127.1283946283256","37.50274959919937","05661","서울특별시 송파구 중대로 235","1층 (오금동)","2026-01-28","070-4135-9720","N","월~토","일요일, 명절 및 법정공휴일, 근로자의 날 ","","","0세 ~ 4세","11710"
"SP260101","2026-01-13 11:30:15.0","2026-06-30 10:08:56.0","서울형키즈카페 시립 한성백제박물관점 (서울백제어린이박물관)","1011","서울형키즈카페","11710","송파구","3230046","방이1동","127.12429564142438","37.52393305460036","05540","서울특별시 송파구 올림픽로 424","서울백제어린이박물관 (방이동, 올림픽공원내 북2문 인근)","2026-01-21","02-2152-5890","Y","화~일","월","","","0세 ~ 3세","11710"
"GJ260101","2026-01-05 10:26:22.0","2026-02-19 19:30:40.0","서울형 키즈카페 시립 아리수나라점","1011","서울형키즈카페","11215","광진구","3040046","능동","127.07877","37.55201","04991","서울특별시 광진구 능동로 216","서울아리수본부 (능동)","2025-12-31","02-3146-5946","Y","화~일","매주 월요일, 1월 1일, 설날 및 추석 연휴","","","0세 ~ 9세","11215"
"MP251201","2025-12-30 11:06:36.0","2026-04-14 09:29:40.0","서울형 키즈카페 마포구 서강동１호점","1011","서울형키즈카페","11440","마포구","3130124","서강동","126.92703","37.54508","04081","서울특별시 마포구 토정로 148-14","2층 (상수동)","2026-01-06","02-323-0187","N","화~일","월요일, 명절 및 공휴일, 근로자의날","","","4세 ~ 9세","11440"
"JN251201","2025-12-30 10:36:36.0","2026-05-26 14:28:44.0","서울형 키즈카페 시립 공예마을점","1011","서울형키즈카페","11110","종로구","3000043","삼청동","126.98281542406504","37.57685953829751","03061","서울특별시 종로구 율곡로3길 4","서울공예박물관 어린이박물관 (교육동 2~3층)","2026-02-20","02-6450-7000","Y","매주 화~일요일","매주 월요일, 1월 1일, 그 밖에 서울공예박물관장이 지정한 날","","","0세 ~ 9세","11110"
"YC251204","2025-12-16 15:21:25.0","2026-06-18 17:51:44.0","서울형 키즈카페 양천구 신월5동점","1011","서울형키즈카페","11470","양천구","3140049","신월5동","126.82719","37.53859","07904","서울특별시 양천구 화곡로4길 10","신월5동주민센터 6층 (신월동)","2026-01-15","02-6959-4015","N","화~일","월, 공휴일(어린이날 제외), 근로자의 날","","","0세 ~ 6세","11470"
"GN251201","2025-12-10 16:46:47.0","2026-04-11 17:08:44.0","서울형 키즈카페 강남구 대치1동점","1011","서울형키즈카페","11680","강남구","3220049","대치1동","127.05659","37.49352","06280","서울특별시 강남구 남부순환로391길 25","강남성은교회 2층 (대치동)","2026-01-02","02-553-0625","N","월~토","일요일 및 법정 공휴일, 노동절","","","0세 ~ 6세","11680"
"SC251201","2025-12-03 14:04:49.0","2026-06-05 15:05:07.0","서울형 키즈카페 서초구 양재1동2호점(서리풀노리학교 양재1동2호점)","1011","서울형키즈카페","11650","서초구","3210055","양재1동","127.01563043269687","37.45629144161097","06767","서울특별시 서초구 양재대로2길 110","우면열린문화센터 1층 (우면동)","2025-12-23","02-579-9340","N","화~일","월요일, 근로자의 날, 법정공휴일 ","","","0세 ~ 6세","11650"
"SB251201","2025-12-02 14:33:04.0","2026-06-12 09:59:39.0","서울형 키즈카페 성북구 보문동점","1011","서울형키즈카페","11290","성북구","3070050","보문동","127.01934","37.58387","02872","서울특별시 성북구 지봉로24길 26","부모아이지원센터 2층 (보문동5가)","2025-12-24","02-2241-0779","N","월 ~ 토","일요일, 법정공휴일, 근로자의 날, 기타 정부에서 지정하는 휴일","","","0세 ~ 6세","11290"
"JG251201","2025-12-01 11:48:37.0","2026-06-14 12:53:40.0","서울형 키즈카페 중구 을지로동점(노리몽땅)","1011","서울형키즈카페","11140","중구","3010095","을지로동","127.00055","37.56774","04546","서울특별시 중구 을지로27가길 24","서울형 키즈카페 중구 을지로동점(노리몽땅)","2025-12-16","02-2264-2678","N","화요일~일요일","월요일, 법정공휴일, 근로자의 날","","","0세 ~ 6세","11140"
"SM251101","2025-11-29 15:55:35.0","2026-06-16 17:51:17.0","서울형 키즈카페 서대문구 BABY 남가좌1동점","1011","서울형키즈카페","11410","서대문구","3120057","남가좌1동","126.91992","37.57303","03711","서울특별시 서대문구 모래내로15길 31","서대문구육아종합지원센터 2층 (남가좌동) (남가좌동)","2025-12-09","02-3217-6551","N","월~토요일","일요일, 대체공휴일, 국가공휴일, 근로자의 날","","","0세 ~ 1세","11410"
"GA251101","2025-11-27 13:28:56.0","2026-05-19 14:31:48.0","서울형 키즈카페 관악구 신사동점","1011","서울형키즈카페","11620","관악구","3200160","신사동","126.91644162198848","37.48245324221631","08761","서울특별시 관악구 남부순환로 1491","1층 (신림동)","2025-12-23","02-867-2837","N","화~일","월, 공휴일,  근로자의 날","","","0세 ~ 6세","11620"
"JR251102","2025-11-25 16:36:53.0","2026-05-21 12:16:01.0","서울형 키즈카페 중랑구 면목5동점 (중랑실내놀이터 늘푸른공원점)","1011","서울형키즈카페","11260","중랑구","3060043","면목5동","127.07946","37.58319","02232","서울특별시 중랑구 동일로 591","2층 (면목동)","2026-02-27","02-432-1135","Y","화요일 ~ 일요일","월요일, 법정공휴일(어린이날 제외), 근로자의 날, 그 밖에 센터장이 지정한 날, 월요일이 공휴일인 경우 그 다음날을 휴관일로 지정","","","2세 ~ 6세","11260"
"JR251101","2025-11-25 16:28:14.0","2026-05-21 11:42:35.0","서울형 키즈카페 중랑구 망우본동 3호점(중랑실내놀이터 망우본동 주민센터점)","1011","서울형키즈카페","11260","중랑구","3060125","망우본동","127.10149","37.60056","02059","서울특별시 중랑구 망우로67길 10","6층 (망우동)","2025-12-30","02-495-1470","Y","화요일 ~ 일요일","월요일, 법정공휴일(어린이날 제외), 근로자의 날, 그 밖에 센터장이 지정한 날, 월요일이 공휴일인 경우 그 다음날을 휴관일로 지정","","","2세 ~ 6세","11260"
"SP251101","2025-11-19 15:54:15.0","2026-06-19 11:00:33.0","서울형 키즈카페 송파구 장지동점(하하호호놀이터 송파구5호점)","1011","서울형키즈카페","11710","송파구","3230099","장지동","127.13312","37.48822","05798","서울특별시 송파구 송이로33길 9","656-2번지 2층 (문정동)","2025-12-09","02-400-0272","N","화~일","월요일, 명절 및 법정공휴일, 근로자의 날","","","0세 ~ 6세","11710"
"GJ251101","2025-11-18 10:24:15.0","2026-06-25 14:19:30.0","서울형 키즈카페 시립 서울상상나라점","1011","서울형키즈카페","11215","광진구","3040046","능동","127.07760105568619","37.550606356683076","04991","서울특별시 광진구 능동로 216","2층","2025-11-15","02-6450-9500","N","화~일","월요일, 1월 1일, 설/추석 연휴, 보수기간","","","0세 ~ 3세","11215"
"GB251001","2025-10-30 13:31:06.0","2026-04-23 14:35:14.0","서울형 키즈카페 강북구 송천동점","1011","서울형키즈카페","11305","강북구","3080128","송천동","127.01921","37.62351","01167","서울특별시 강북구 삼양로 220","반도중앙교회 교육관 1층 (미아동)","2025-11-12","02-946-0191","N","월요일 ~ 토요일","일요일, 명절 및 법정공휴일, 근로자의 날","","","3세 ~ 7세","11305"
"YC251003","2025-10-16 16:52:34.0","2026-05-22 11:28:20.0","서울형 키즈카페 양천구 신정7동 2호점","1011","서울형키즈카페","11470","양천구","3140058","신정7동","126.86908753105413","37.51102715220661","08101","서울특별시 양천구 목동남로 98"," 4층 (신정동)","2025-11-04","02-2135-9166","N","화요일~일요일","월, 공휴일(어린이날 제외), 근로자의 날","","","0세 ~ 3세","11470"
"DJ251003","2025-10-01 09:24:10.0","2026-06-10 14:27:55.0","서울형 키즈카페 동작구 사당2동점(동작키즈카페)","1011","서울형키즈카페","11590","동작구","3190052","사당2동","126.97758","37.48838","06999","서울특별시 동작구 동작대로29길 63-26","2층 (사당동)","2025-10-10","070-7163-1480","N","화~일요일","월, 공휴일, 대체공휴일 및 근로자의날","","","0세 ~ 6세","11590"
"DJ250901","2025-09-23 20:28:08.0","2026-06-27 15:05:24.0","서울형 키즈카페 시립 보라매공원점","1011","서울형키즈카페","11590","동작구","3190058","신대방2동","126.91949","37.49487","07062","서울특별시 동작구 여의대방로20길 33","1층 (신대방동)","2025-09-30","02-831-7220","N","화~일"," 월요일, 명절 및 법정공휴일, 대체휴무일, 노동절","","","3세 ~ 9세","11590"
"DM250901","2025-09-14 16:01:01.0","2026-07-02 14:56:57.0","서울형 키즈카페 동대문구 새샘공원점","1011","서울형키즈카페","11230","동대문구","3050049","답십리1동","127.05500075923948","37.568816956685005","02601","서울특별시 동대문구 사가정로2길 99"," (답십리동) 서울형키즈카페 새샘공원점_답십리초등학교 후문 옆 새샘근린공원 내 두번째 건물","2025-09-29","02-3390-4578","N","화요일~일요일"," 매주 월요일, 법정 공휴일 및 노동절 (어린이날 정상 운영 )","","","3세 ~ 8세","11230"
"JG250701","2025-07-22 14:36:52.0","2026-06-16 17:12:16.0","서울형 키즈카페 중구 장충점(노리몽땅)","1011","서울형키즈카페","11140","중구","3010046","장충동","127.00941","37.56066","04606","서울특별시 중구 장충단로6길 57-6"," (장충동1가)","2025-09-02","02-2274-2625","N","화요일~일요일","월요일, 법정공휴일, 근로자의 날","","","0세 ~ 6세","11140"
"YC250603","2025-06-26 18:06:08.0","2026-05-22 10:36:24.0","서울형 키즈카페 양천구 신트리공원점","1011","서울형키즈카페","11470","양천구","3140052","신정1동","126.85686373721322","37.514741262746206","08091","서울특별시 양천구 목동동로 5","서울형 키즈카페 양천구 신트리공원점 (신정동)","2025-07-08","070-7700-9293","N","화~일","월요일, 근로자의 날, 공휴일","","","2세 ~ 9세","11470"
"GD250601","2025-06-05 13:43:40.0","2026-04-14 14:16:54.0","서울형 키즈카페 강동구 성내2동점(아이?맘 강동)","1011","서울형키즈카페","11740","강동구","3240054","성내2동","127.1275088964039","37.533763520326964","05387","서울특별시 강동구 천호대로162길 70","1층, 2층 (성내동)","2025-09-09","02-3425-9389","N","화~일","월요일, 명절 및 공휴일","","","0세 ~ 6세","11740"
"EP250601","2025-06-02 16:19:42.0","2026-01-02 09:49:14.0","서울형 키즈카페 은평구 불광2동점(은평아이맘놀이터)","1011","서울형키즈카페","11380","은평구","3110040","불광2동","126.93191","37.62224","03360","서울특별시 은평구 불광로18길 6","2-3층 (불광동, 수리마을 들락날락)","2025-07-24","02-2138-0652","N","화~일요일","월요일(정기 휴관일), 근로자의 날, 법정공휴일(어린이날 제외)","","","0세 ~ 6세",""
"GR250505","2025-05-26 11:28:47.0","2026-04-05 09:44:18.0","서울형 키즈카페 구로구 신도림동점","1011","서울형키즈카페","11530","구로구","3160041","신도림동","126.89154439596116","37.50905179145193","08209","서울특별시 구로구 경인로 688","신도림역 지상 2층 (신도림동)","2025-07-29","070-8846-5678","N","화~일","매주 월요일, 법정공휴일, 대체휴무일, 근로자의 날 ","","","3세 ~ 6세","11530"
"YC250501","2025-05-19 15:45:26.0","2026-06-23 17:24:30.0","서울형 키즈카페 양천구 신정4동점","1011","서울형키즈카페","11470","양천구","3140055","신정4동","126.8589010312267","37.52228811012945","08027","서울특별시 양천구 은행정로 29","대한교회 후문 교육관 센터위드  4층 (신정동)","2025-07-09","070-4647-2250","N","월~토","일요일, 공휴일(어린이날 제외), 근로자의 날","","","2세 ~ 6세","11470"
"JR250504","2025-05-17 21:28:08.0","2026-05-27 13:50:12.0","서울형 키즈카페  중랑구 묵동점 (중랑실내놀이터 묵동 장미마을점)","1011","서울형키즈카페","11260","중랑구","3060053","묵2동","127.07338","37.60774","02008","서울특별시 중랑구 중랑천로 258"," (묵동)","2025-05-27","02-3296-5281","N","화~일요일","월요일, 법정공휴일(어린이날 제외), 근로자의 날, 그 밖에 센터장이 지정한 날, 월요일이 공휴일인 경우 그 다음날을 휴관일로 지정","","","5세 ~ 8세","11260"
"EP250501","2025-05-09 13:25:49.0","2026-06-11 15:28:17.0","서울형 키즈카페 은평구 응암1동점(은평아이맘놀이터)","1011","서울형키즈카페","11380","은평구","3110045","응암1동","126.93014723320624","37.599328102489025","03472","서울특별시 은평구 은평로 220","은평아이맘놀이터 응암1동점 (주차 공간 없음,  커뮤니티센터 2동 1층)","2025-05-28","02-2138-0497","N","수~월요일","화요일(정기 휴관일), 근로자의 날, 법정 공휴일(어린이날 제외)","","","3세 ~ 9세","11380"
"GA250401","2025-04-17 10:30:55.0","2026-06-30 09:08:41.0","서울형 키즈카페 관악구 은천동점","1011","서울형키즈카페","11620","관악구","3200151","은천동","126.94161054882855","37.48701961053774","08716","서울특별시 관악구 국회단지4길 32","3층 서울형키즈카페 관악구 은천동점 (봉천동)","2025-08-05","02-875-2883","N","화~일","월","","","0세 ~ 2세","11620"
"SP250402","2025-04-16 15:33:38.0","2026-06-20 17:50:27.0","서울형 키즈카페 송파구 방이2동점(하하호호놀이터 송파구4호점)","1011","서울형키즈카페","11710","송파구","3230047","방이2동","127.11532","37.51598","05545","서울특별시 송파구 위례성대로 28","1층, 임마누엘교회 (방이동)","2025-04-30","02-415-3023","N","월~토","일요일, 명절 및 법정공휴일, 근로자의 날","","","0세 ~ 6세","11710"
"JR250401","2025-04-16 13:41:19.0","2026-05-21 12:16:38.0","서울형 키즈카페 중랑구 망우본동 2호점(중랑실내놀이터 망우역점)","1011","서울형키즈카페","11260","중랑구","3060125","망우본동","127.09426","37.59711","02169","서울특별시 중랑구 망우로60길 37","2층 (망우동, 효성 써너스빌 에코)","2025-04-29","02-437-1124","N","화요일 ~ 일요일 10:00~20:00","월요일, 법정공휴일(어린이날 제외), 근로자의 날, 그 밖에 센터장이 지정한 날, 월요일이 공휴일인 경우 그 다음날을 휴관일로 지정","","","2세 ~ 6세","11260"
"SP250401","2025-04-15 16:22:43.0","2026-02-05 16:04:05.0","서울형 키즈카페 송파구 위례동점(하하호호놀이터 송파구3호점)","1011","서울형키즈카페","11710","송파구","3230250","위례동","127.1494861530113","37.48712925740012","05846","서울특별시 송파구 위례송파로 123","1703동 창의센터 (거여동, 포레나송파)","2025-04-29","070-7791-8335","N","화~일","월요일, 명절 및 법정공휴일, 근로자의 날","","","4세 ~ 9세",""
"DB250401","2025-04-07 13:23:02.0","2026-06-20 16:10:45.0","서울형 키즈카페 도봉구 방학1동2호점(오밀조밀숲, 놀다람)","1011","서울형키즈카페","11320","도봉구","3090051","방학1동","127.03539695489191","37.66420680131153","01343","서울특별시 도봉구 도당로 70"," (방학동, 쏘네하임 103동 1층)","2025-04-30","02-955-3341","N","화요일 ~ 일요일","월요일, 법정공휴일","","","0세 ~ 4세","11320"
"JG250301","2025-03-21 15:10:56.0","2026-06-16 18:56:03.0","서울형 키즈카페 중구 신당동점(노리몽땅)","1011","서울형키즈카페","11140","중구","3010141","신당동","127.01448","37.56205","04610","서울특별시 중구 다산로33길 3","신당누리센터 2층 서울형키즈카페 노리몽땅 신당동점 (신당동)","2025-04-08","02-2231-7926","N","화~일요일","월요일, 공휴일","","","0세 ~ 6세","11140"
"DM250304","2025-03-10 17:28:07.0","2026-06-19 09:52:07.0","서울형키즈카페 동대문구 장안1동점","1011","서울형키즈카페","11230","동대문구","3050054","장안1동","127.06859","37.57234","02624","서울특별시 동대문구 답십리로66길 3","서울형 키즈카페 장안1동점 (장안동)","2025-03-24","02-2212-0833","N","월요일~토요일","일요일, 법정공휴일, 근로자의 날 ","","","0세 ~ 6세","11230"
"DM250301","2025-03-08 21:21:14.0","2026-05-19 11:54:37.0","서울형키즈카페 동대문구 제기동점","1011","서울형키즈카페","11230","동대문구","3050131","제기동","127.03467","37.58373","02476","서울특별시 동대문구 약령시로7길 19","동대문구육아종합지원센터 제기점 2층","2025-03-24","070-4922-0421","N","월~토요일","일요일, 법정공휴일, 근로자의 날 ","","","0세 ~ 6세","11230"
"SP250301","2025-03-06 13:56:10.0","2026-07-01 16:49:11.0","서울형 키즈카페 송파구 여성문화회관점(하하호호놀이터 송파구2호점)","1011","서울형키즈카페","11710","송파구","3230050","송파1동","127.10975599151665","37.50599282951723","05666","서울특별시 송파구 백제고분로42길 5","송파여성문화회관 1층 (송파동)","2025-03-19","070-4118-7014","N","월~토","일요일, 명절 및 법정공휴일, 근로자의 날","","","0세 ~ 3세","11710"
"EP250301","2025-03-06 10:36:32.0","2026-02-24 15:58:12.0","서울형 키즈카페 은평구 수색동점(은평아이맘놀이터)","1011","서울형키즈카페","11380","은평구","3110054","수색동","126.89761382504011","37.584490021640896","03490","서울특별시 은평구 은평터널로 27","은평아이맘놀이터 3호점 (수색동, DMC아트포레자이 단지 외부) ","2025-04-01","02-2138-0597","N","화~일요일","월요일(정기휴관), 근로자의 날, 법정 공휴일(어린이날 제외)","","","0세 ~ 6세","11380"
"GA250301","2025-03-04 20:49:11.0","2026-07-02 14:09:00.0","서울형 키즈카페 관악구 행운동점","1011","서울형키즈카페","11620","관악구","3200155","행운동","126.95514468509354","37.48270656732048","08737","서울특별시 관악구 행운1마길 29","2층 (봉천동)","2025-04-28","02-2039-8574","N","월요일~토요일","일요일, 근로자의 날, 명절 및 법정 공휴일 (어린이날 예외)","","","3세 ~ 7세","11620"
"GR250201","2025-02-14 14:38:11.0","2026-05-13 10:14:04.0","서울형 키즈카페 구로구 구로4동점","1011","서울형키즈카페","11530","구로구","3160045","구로4동","126.88657","37.4899","08311","서울특별시 구로구 구로동로26길 54","서울형 키즈카페 (구로동)","2025-03-18","070-8805-5678","N","화~일","매주 월요일, 법정공휴일, 대체휴무일, 근로자의 날","","","0세 ~ 3세","11530"
"YC250202","2025-02-07 09:55:23.0","2026-07-01 14:15:55.0","서울형 키즈카페 양천구 신월3동점","1011","서울형키즈카페","11470","양천구","3140047","신월3동","126.82939","37.53362","07910","서울특별시 양천구 남부순환로 374","4층(신나다비전센터)","2025-03-04","070-4266-2427","N","월~토","일요일, 공휴일(어린이날 제외), 근로자의 날","","","3세 ~ 8세","11470"
"YC250201","2025-02-04 16:10:50.0","2026-05-22 10:55:22.0","서울형 키즈카페 양천구 목4동점","1011","서울형키즈카페","11470","양천구","3140042","목4동","126.86549","37.53897","07958","서울특별시 양천구 목동중앙남로 57-10","목사랑시장 고객주차장 2층 ","2025-02-28","02-2062-9011","N","화~일","월, 공휴일(어린이날 제외), 근로자의 날","","","0세 ~ 6세","11470"
"GD250101","2025-01-24 11:09:37.0","2026-04-14 14:16:09.0","서울형 키즈카페 강동구 상일2동 2호점(아이?맘 강동)","1011","서울형키즈카페","11740","강동구","3240040","상일동","127.17980587490003","37.55533542856546","05416","서울특별시 강동구 고덕로98길 71","상일2동주민센터 3층 (상일동)","2025-02-25","02-3425-7071","N","화~일","월요일, 명절 및 공휴일","","","2세 ~ 6세","11740"
